text,label
I love the product launch today,positive
This release is fantastic and very useful,positive
The team did an excellent job on this feature,positive
I am happy with these improvements,positive
This update is terrible and frustrating,negative
The outage made the app unusable,negative
I hate how buggy the latest version feels,negative
Support has been disappointing and slow,negative
The product is okay but nothing special,neutral
I have mixed feelings about this announcement,neutral
This seems average so far,neutral
The change is neither good nor bad,neutral
